accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,method,feature_size,train_time,def_pred_threshold,pred_time,dataset
0.920777524,0.832836932,0.984161901,0.902198024,2237,3400,449,36,tf-idf_ngram,MultinomialNB,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.000676568,0.5,0.000520949,SQLiV3.tsv
0.997059784,0.999556934,0.992520897,0.99602649,2256,3848,1,17,tf-idf_ngram,SVM_RBF,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,5.028509764,0.5,2.11985413,SQLiV3.tsv
0.990525972,0.99820063,0.976242851,0.987099644,2219,3845,4,54,tf-idf_ngram,MLPClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,2.249038751,0.5,0.00330973,SQLiV3.tsv
0.980235217,0.98381295,0.962604487,0.973093173,2188,3813,36,85,tf-idf_ngram,KNeighborsClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.000738121,0.5,31.46884031,SQLiV3.tsv
0.959653708,0.990319458,0.900131984,0.943074441,2046,3829,20,227,tf-idf_ngram,NearestCentroid,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.001011819,0.5,0.000799509,SQLiV3.tsv
0.822770336,0.686323714,0.962604487,0.80131844,2188,2849,1000,85,tf-idf_ngram,RadiusNeighborsClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.000357896,0.5,31.39339205,SQLiV3.tsv
0.995589677,0.99955516,0.988561373,0.99402787,2247,3848,1,26,tf-idf_ngram,SVC-GC,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,11.21142007,0.5,3.781884011,SQLiV3.tsv
0.937112055,1,0.830620326,0.907474165,1888,3849,0,385,tf-idf_ngram,NuSVC,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,15.5997648,0.5,7.781594295,SQLiV3.tsv
0.99754982,0.999557522,0.993840739,0.996690933,2259,3848,1,14,tf-idf_ngram,LinearSVC,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.004416641,0.5,0.000294037,SQLiV3.tsv
0.986605684,0.99413622,0.969643643,0.981737194,2204,3836,13,69,tf-idf_ngram,DecisionTreeClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.0720594,0.5,0.000667388,SQLiV3.tsv
0.995589677,0.997342781,0.990761109,0.994041051,2252,3843,6,21,tf-idf_ngram,AdaBoostClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.820962311,0.5,0.024515066,SQLiV3.tsv
0.995099641,0.998223012,0.988561373,0.9933687,2247,3845,4,26,tf-idf_ngram,BaggingClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,2.406474688,0.5,0.011778088,SQLiV3.tsv
0.998039856,1,0.994720634,0.99735333,2261,3849,0,12,tf-idf_ngram,ExtraTreesClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.424161384,0.5,0.055547633,SQLiV3.tsv
0.996896439,0.999556738,0.99208095,0.995804813,2255,3848,1,18,tf-idf_ngram,RidgeClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.072036786,0.5,0.000335394,SQLiV3.tsv
0.996406403,0.999556147,0.990761109,0.995139196,2252,3848,1,21,tf-idf_ngram,SGDClassifier,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.004680993,0.5,0.000349191,SQLiV3.tsv
